categoria,termino,tokenizer,orthographic_words,subtokens,excess_subtokens,subtokens_per_word,fragmented,token_pieces
latinismo,ad hoc,BETO,2,2,0,1.0,False,ad | hoc
latinismo,ad cautelam,BETO,2,3,1,1.5,True,ad | caute | ##lam
latinismo,ad personam,BETO,2,3,1,1.5,True,ad | persona | ##m
latinismo,a fortiori,BETO,2,4,2,2.0,True,a | fort | ##ior | ##i
latinismo,a priori,BETO,2,3,1,1.5,True,a | prior | ##i
latinismo,a posteriori,BETO,2,3,1,1.5,True,a | posterior | ##i
latinismo,ex ante,BETO,2,2,0,1.0,False,ex | ante
latinismo,ex post,BETO,2,2,0,1.0,False,ex | post
latinismo,ex officio,BETO,2,3,1,1.5,True,ex | off | ##icio
latinismo,in dubio pro reo,BETO,4,6,2,1.5,True,in | du | ##bio | pro | re | ##o
latinismo,iura novit curia,BETO,3,6,3,2.0,True,i | ##ura | novi | ##t | curi | ##a
latinismo,lex specialis derogat legi generali,BETO,5,10,5,2.0,True,le | ##x | spe | ##cial | ##is | deroga | ##t | legi | general | ##i
latinismo,lex posterior derogat priori,BETO,4,7,3,1.75,True,le | ##x | posterior | deroga | ##t | prior | ##i
latinismo,mutatis mutandis,BETO,2,6,4,3.0,True,mu | ##tat | ##is | mu | ##tan | ##dis
latinismo,non bis in idem,BETO,4,5,1,1.25,True,non | bis | in | ide | ##m
latinismo,per se,BETO,2,2,0,1.0,False,per | se
latinismo,prima facie,BETO,2,3,1,1.5,True,prima | faci | ##e
latinismo,ratio decidendi,BETO,2,3,1,1.5,True,ratio | deciden | ##di
latinismo,obiter dictum,BETO,2,5,3,2.5,True,ob | ##ite | ##r | dic | ##tum
latinismo,sui generis,BETO,2,4,2,2.0,True,su | ##i | gener | ##is
latinismo,ultra vires,BETO,2,3,1,1.5,True,ultra | vir | ##es
latinismo,inter partes,BETO,2,2,0,1.0,False,inter | partes
latinismo,erga omnes,BETO,2,4,2,2.0,True,er | ##ga | om | ##nes
latinismo,fumus boni iuris,BETO,3,6,3,2.0,True,fum | ##us | bon | ##i | i | ##uris
latinismo,periculum in mora,BETO,3,5,2,1.6666666666666667,True,peri | ##cul | ##um | in | mora
latinismo,pacta sunt servanda,BETO,3,6,3,2.0,True,pac | ##ta | sun | ##t | serv | ##anda
latinismo,rebus sic stantibus,BETO,3,6,3,2.0,True,re | ##bus | sic | stan | ##ti | ##bus
latinismo,de lege lata,BETO,3,4,1,1.3333333333333333,True,de | leg | ##e | lata
latinismo,de lege ferenda,BETO,3,5,2,1.6666666666666667,True,de | leg | ##e | fer | ##enda
latinismo,locus standi,BETO,2,4,2,2.0,True,locu | ##s | stan | ##di
colocacion_juridica,interponer recurso,BETO,2,2,0,1.0,False,interponer | recurso
colocacion_juridica,formular alegaciones,BETO,2,2,0,1.0,False,formular | alegaciones
colocacion_juridica,dictar sentencia,BETO,2,2,0,1.0,False,dictar | sentencia
colocacion_juridica,dictar resolución,BETO,2,2,0,1.0,False,dictar | resolución
colocacion_juridica,emitir informe,BETO,2,2,0,1.0,False,emitir | informe
colocacion_juridica,incoar expediente,BETO,2,3,1,1.5,True,inco | ##ar | expediente
colocacion_juridica,tramitar expediente,BETO,2,3,1,1.5,True,trami | ##tar | expediente
colocacion_juridica,resolver el procedimiento,BETO,3,3,0,1.0,False,resolver | el | procedimiento
colocacion_juridica,practicar diligencias,BETO,2,3,1,1.5,True,practicar | diligencia | ##s
colocacion_juridica,evacuar trámite,BETO,2,2,0,1.0,False,evacuar | trámite
colocacion_juridica,conceder audiencia,BETO,2,2,0,1.0,False,conceder | audiencia
colocacion_juridica,abrir período de prueba,BETO,4,4,0,1.0,False,abrir | período | de | prueba
colocacion_juridica,admitir a trámite,BETO,3,3,0,1.0,False,admitir | a | trámite
colocacion_juridica,inadmitir el recurso,BETO,3,5,2,1.6666666666666667,True,inad | ##mit | ##ir | el | recurso
colocacion_juridica,estimar la demanda,BETO,3,3,0,1.0,False,estimar | la | demanda
colocacion_juridica,desestimar la pretensión,BETO,3,5,2,1.6666666666666667,True,desesti | ##mar | la | preten | ##sión
colocacion_juridica,estimar parcialmente,BETO,2,2,0,1.0,False,estimar | parcialmente
colocacion_juridica,imponer las costas,BETO,3,3,0,1.0,False,imponer | las | costas
colocacion_juridica,absolver al acusado,BETO,3,4,1,1.3333333333333333,True,abs | ##olver | al | acusado
colocacion_juridica,condenar al demandado,BETO,3,4,1,1.3333333333333333,True,condenar | al | demanda | ##do
